case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:17:971,normal,normal,-,"-"
1,2,Activity AI,2020-06-27 15:09:08:483,normal,normal,-,"-"
1,3,Activity AL,2020-06-27 16:04:37:277,normal,normal,-,"-"
1,4,Activity AM,2020-06-27 16:39:29:814,normal,normal,-,"-"
1,5,Activity AN,2020-06-27 17:33:29:451,normal,normal,-,"-"
1,6,Activity AO,2020-06-27 18:32:52:303,normal,normal,-,"-"
1,7,Activity AJ,2020-06-27 19:23:17:775,normal,normal,-,"-"
1,8,Activity B,2020-06-27 19:52:49:061,normal,normal,-,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:27:971,normal,normal,-,"-"
2,2,Activity C,2020-06-27 15:12:53:104,normal,normal,-,"-"
2,3,Activity D,2020-06-27 15:58:45:134,normal,normal,-,"-"
2,4,Activity E,2020-06-27 16:42:26:195,normal,normal,-,"-"
2,5,Activity I,2020-06-27 16:59:14:773,normal,normal,-,"-"
2,6,Activity F,2020-06-27 17:55:36:718,normal,normal,-,"-"
2,7,Activity J,2020-06-27 18:48:26:832,normal,normal,-,"-"
2,8,Activity K,2020-06-27 19:44:37:838,normal,normal,-,"-"
2,9,Activity B,2020-06-27 20:41:41:916,normal,normal,-,"-"
2,10,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:37:971,normal,normal,-,"-"
3,2,Activity AI,2020-06-27 15:02:30:004,normal,normal,-,"-"
3,3,Activity AL,2020-06-27 16:00:27:559,normal,normal,-,"-"
3,4,Activity AM,2020-06-27 16:55:02:629,normal,normal,-,"-"
3,5,Activity AN,2020-06-27 17:43:26:813,normal,normal,-,"-"
3,6,Activity AO,2020-06-27 18:41:15:540,normal,normal,-,"-"
3,7,Activity AJ,2020-06-27 19:23:35:384,normal,normal,-,"-"
3,8,Activity B,2020-06-27 19:56:44:485,normal,normal,-,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:47:971,normal,normal,-,"-"
4,2,Activity AT,2020-06-27 15:08:21:462,normal,normal,-,"-"
4,3,Activity AY,2020-06-27 16:04:24:482,normal,normal,-,"-"
4,4,Activity AZ,2020-06-27 16:40:22:295,normal,normal,-,"-"
4,5,Activity BA,2020-06-27 16:58:32:755,normal,normal,-,"-"
4,6,Activity BB,2020-06-27 17:49:19:442,normal,normal,-,"-"
4,7,Activity AU,2020-06-27 18:26:45:701,normal,normal,-,"-"
4,8,Activity B,2020-06-27 18:45:39:364,normal,normal,-,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:57:971,normal,normal,-,"-"
