case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:35:553,normal,normal,-,"-"
1,2,Activity Y,2020-06-27 14:21:31:470,normal,normal,-,"-"
1,3,Activity B,2020-06-27 15:15:43:169,normal,normal,-,"-"
1,4,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:45:553,normal,normal,-,"-"
2,2,Activity C,2020-06-27 14:36:52:415,normal,normal,-,"-"
2,3,Activity F,2020-06-27 15:29:58:726,normal,normal,-,"-"
2,4,Activity D,2020-06-27 16:12:36:861,normal,normal,-,"-"
2,5,Activity I,2020-06-27 17:02:26:363,normal,normal,-,"-"
2,6,Activity L,2020-06-27 17:56:21:042,normal,normal,-,"-"
2,7,Activity J,2020-06-27 18:50:10:269,normal,normal,-,"-"
2,8,Activity B,2020-06-27 19:19:38:839,normal,normal,-,"-"
2,9,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:55:553,normal,normal,-,"-"
3,2,Activity C,2020-06-27 14:55:26:873,normal,normal,-,"-"
3,3,Activity F,2020-06-27 15:46:45:376,normal,normal,-,"-"
3,4,Activity D,2020-06-27 16:40:13:408,normal,normal,-,"-"
3,5,Activity I,2020-06-27 17:37:26:075,normal,normal,-,"-"
3,6,Activity L,2020-06-27 18:34:21:919,normal,normal,-,"-"
3,7,Activity J,2020-06-27 19:22:46:122,normal,normal,-,"-"
3,8,Activity B,2020-06-27 19:53:12:995,normal,normal,-,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:05:553,normal,normal,-,"-"
4,2,Activity Z,2020-06-27 14:47:07:079,normal,normal,-,"-"
4,3,Activity AA,2020-06-27 15:35:10:266,normal,normal,-,"-"
4,4,Activity AE,2020-06-27 16:09:24:613,normal,normal,-,"-"
4,5,Activity AB,2020-06-27 16:36:01:122,normal,normal,-,"-"
4,6,Activity B,2020-06-27 17:33:56:377,normal,normal,-,"-"
4,7,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:15:553,normal,normal,-,"-"
5,2,Activity Y,2020-06-27 14:23:27:455,normal,normal,-,"-"
5,3,Activity B,2020-06-27 15:15:19:495,normal,normal,-,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:25:553,normal,normal,-,"-"
