case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:47:511,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:59:46:378,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:59:08:412,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:41:04:336,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:23:29:777,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:15:14:905,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:58:23:791,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:22:47:586,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:15:48:086,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:00:40:205,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:57:511,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:37:37:475,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:32:55:311,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:20:35:188,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:45:23:553,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:30:40:468,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:18:05:773,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:07:511,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:33:24:880,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:27:45:694,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:26:21:835,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:21:21:548,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:07:55:959,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 22:04:23:926,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:43:17:898,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:36:20:549,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:34:29:844,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:17:511,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:06:04:681,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 19:01:54:154,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:59:31:996,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:47:35:867,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:45:20:813,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:24:52:918,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:58:13:548,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:47:47:990,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:23:33:447,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:27:511,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:57:10:271,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:47:24:236,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:33:11:174,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:30:12:111,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:15:58:794,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:46:16:623,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:21:46:202,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:14:43:793,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:10:49:281,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:37:511,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:40:05:810,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:39:51:261,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:11:21:207,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 19:52:25:303,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 20:45:28:852,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:19:19:622,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:47:511,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 18:07:41:344,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 19:01:20:791,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:40:04:500,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 19:55:40:912,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:44:33:247,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:41:16:489,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:25:09:385,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:22:40:803,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:54:51:321,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:57:511,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:33:26:784,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:31:39:698,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:08:47:337,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 19:33:55:556,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 20:32:45:167,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:10:57:521,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:07:511,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:42:06:790,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:33:37:808,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:19:25:531,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 19:53:22:552,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 20:52:36:340,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:38:37:255,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:32:20:856,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:21:46:000,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 23:55:43:489,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:17:511,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:27:38:905,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:20:15:190,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:08:57:442,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 19:26:03:128,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 20:14:26:954,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:02:11:567,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 21:41:48:585,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 22:27:14:047,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 23:19:21:020,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:27:511,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 17:43:26:385,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 18:31:39:499,James,normal,normal,"-"
11,4,Activity D,2020-06-27 19:01:40:649,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 19:31:19:809,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 20:23:54:010,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 20:57:03:106,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 21:40:08:623,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 22:32:29:836,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 23:27:37:312,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:37:511,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 17:49:01:832,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 18:48:50:749,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 19:31:42:924,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 20:15:29:624,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 21:03:19:723,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 22:00:22:912,James,normal,normal,"-"
12,8,Activity I,2020-06-27 22:53:06:970,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 23:42:24:664,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-28 00:39:36:854,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:08:47:511,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 17:57:07:540,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 18:45:09:400,James,normal,normal,"-"
13,4,Activity D,2020-06-27 19:28:21:285,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 20:23:31:033,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 21:23:07:188,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 22:01:04:143,James,normal,normal,"-"
13,8,Activity I,2020-06-27 22:48:14:234,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 23:45:14:153,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-28 00:30:20:480,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:08:57:511,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 17:38:38:850,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 18:33:56:620,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 19:06:43:948,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 20:06:26:475,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 21:06:07:445,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 21:37:30:686,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 22:30:16:455,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 23:26:10:201,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-28 00:10:48:056,Howard,normal,normal,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:09:07:511,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 17:51:12:497,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 18:50:31:789,James,normal,normal,"-"
15,4,Activity D,2020-06-27 19:26:08:276,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 19:43:05:373,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 20:39:07:289,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 21:19:57:497,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 22:11:32:750,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 23:05:29:902,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 23:39:33:321,Howard,normal,normal,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:09:17:511,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 18:05:11:181,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 18:55:38:625,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 19:40:14:579,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 20:01:59:102,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 20:59:54:942,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 21:36:58:800,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 21:54:29:388,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 22:44:30:899,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 23:38:48:900,Howard,normal,normal,"-"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:09:27:511,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 18:04:18:773,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 18:51:44:458,James,normal,normal,"-"
17,4,Activity D,2020-06-27 19:44:17:929,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 20:41:55:417,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 21:33:02:848,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 22:28:35:036,Lisa,normal,normal,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:09:37:511,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 17:38:14:791,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 18:38:09:600,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 19:33:20:032,Lourdes,normal,normal,"-"
18,5,Activity E,2020-06-27 19:52:32:355,Della,normal,normal,"-"
18,6,Activity T,2020-06-27 20:38:22:214,Ryan,normal,normal,"-"
18,7,Activity F,2020-06-27 21:09:01:198,Lisa,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:09:47:511,Sherlene,normal,normal,"-"
19,2,Activity B,2020-06-27 18:02:44:077,Earl,normal,normal,"-"
19,3,Activity C,2020-06-27 18:56:43:302,Brant,normal,normal,"-"
