case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,normal,-,-
1,1,Activity A,,normal,-,-
1,2,Activity B,,normal,-,-
1,3,Activity C,,normal,-,-
1,4,Activity D,,normal,-,-
1,5,Activity E,,normal,-,-
1,6,Activity K,,normal,-,-
1,7,Activity O,,normal,-,-
1,8,Activity P,,normal,-,-
1,9,Activity L,,normal,-,-
1,10,Activity F,,normal,-,-
1,11,■,,normal,-,-
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity B,,normal,-,-
2,3,Activity C,,normal,-,-
2,4,Activity D,,normal,-,-
2,5,Activity E,,normal,-,-
2,6,Activity K,,normal,-,-
2,7,Activity Q,,normal,-,-
2,8,Activity L,,normal,-,-
2,9,Activity F,,normal,-,-
2,10,■,,normal,-,-
3,0,▶,,normal,-,-
3,1,Activity A,,normal,-,-
3,2,Activity B,,normal,-,-
3,3,Activity C,,normal,-,-
3,4,Activity D,,normal,-,-
3,5,Activity E,,normal,-,-
3,6,Activity G,,normal,-,-
3,7,Activity H,,normal,-,-
3,8,Activity I,,normal,-,-
3,9,Activity J,,normal,-,-
3,10,Activity F,,normal,-,-
3,11,■,,normal,-,-
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity B,,normal,-,-
4,3,Activity C,,normal,-,-
4,4,Activity D,,normal,-,-
4,5,Activity E,,normal,-,-
4,6,Activity T,,normal,-,-
4,7,Activity F,,normal,-,-
4,8,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity B,,normal,-,-
5,3,Activity C,,normal,-,-
5,4,Activity D,,normal,-,-
5,5,Activity E,,normal,-,-
5,6,Activity G,,normal,-,-
5,7,Activity H,,normal,-,-
5,8,Activity I,,normal,-,-
5,9,Activity J,,normal,-,-
5,10,Activity F,,normal,-,-
5,11,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity B,,normal,-,-
6,3,Activity C,,normal,-,-
6,4,Activity D,,normal,-,-
6,5,Activity E,,normal,-,-
6,6,Activity G,,normal,-,-
6,7,Activity H,,normal,-,-
6,8,Activity I,,normal,-,-
6,9,Activity J,,normal,-,-
6,10,Activity F,,normal,-,-
6,11,■,,normal,-,-
7,0,▶,,normal,-,-
7,1,Activity A,,normal,-,-
7,2,Activity B,,normal,-,-
7,3,Activity C,,normal,-,-
7,4,Activity D,,normal,-,-
7,5,Activity E,,normal,-,-
7,6,Activity T,,normal,-,-
7,7,Activity F,,normal,-,-
7,8,■,,normal,-,-
8,0,▶,,normal,-,-
8,1,Activity A,,normal,-,-
8,2,Activity B,,normal,-,-
8,3,Activity C,,normal,-,-
8,4,Activity D,,normal,-,-
8,5,Activity E,,normal,-,-
8,6,Activity T,,normal,-,-
8,7,Activity F,,normal,-,-
8,8,■,,normal,-,-
9,0,▶,,anomalous,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,1,Activity A,,anomalous,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,2,Activity E,,anomalous,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,3,Activity B,,anomalous,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
