case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,normal,-,-
1,1,Activity A,,normal,-,-
1,2,Activity Y,,normal,-,-
1,3,Activity B,,normal,-,-
1,4,■,,normal,-,-
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity C,,normal,-,-
2,3,Activity F,,normal,-,-
2,4,Activity D,,normal,-,-
2,5,Activity I,,normal,-,-
2,6,Activity L,,normal,-,-
2,7,Activity J,,normal,-,-
2,8,Activity B,,normal,-,-
2,9,■,,normal,-,-
3,0,▶,,normal,-,-
3,1,Activity A,,normal,-,-
3,2,Activity C,,normal,-,-
3,3,Activity F,,normal,-,-
3,4,Activity D,,normal,-,-
3,5,Activity I,,normal,-,-
3,6,Activity L,,normal,-,-
3,7,Activity J,,normal,-,-
3,8,Activity B,,normal,-,-
3,9,■,,normal,-,-
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity Z,,normal,-,-
4,3,Activity AA,,normal,-,-
4,4,Activity AE,,normal,-,-
4,5,Activity AB,,normal,-,-
4,6,Activity B,,normal,-,-
4,7,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity Y,,normal,-,-
5,3,Activity B,,normal,-,-
5,4,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity C,,normal,-,-
6,3,Activity E,,normal,-,-
6,4,Activity D,,normal,-,-
6,5,Activity I,,normal,-,-
6,6,Activity L,,normal,-,-
6,7,Activity J,,normal,-,-
6,8,Activity B,,normal,-,-
6,9,■,,normal,-,-
7,0,▶,,normal,-,-
7,1,Activity A,,normal,-,-
7,2,Activity Y,,normal,-,-
7,3,Activity B,,normal,-,-
7,4,■,,normal,-,-
8,0,▶,,normal,-,-
8,1,Activity A,,normal,-,-
8,2,Activity Y,,normal,-,-
8,3,Activity B,,normal,-,-
8,4,■,,normal,-,-
9,0,▶,,normal,-,-
9,1,Activity A,,normal,-,-
9,2,Activity Y,,normal,-,-
9,3,Activity B,,normal,-,-
9,4,■,,normal,-,-
10,0,▶,,normal,-,-
10,1,Activity A,,normal,-,-
10,2,Activity Y,,normal,-,-
10,3,Activity B,,normal,-,-
10,4,■,,normal,-,-
11,0,▶,,normal,-,-
11,1,Activity A,,normal,-,-
11,2,Activity Z,,normal,-,-
11,3,Activity AA,,normal,-,-
11,4,Activity AC,,normal,-,-
11,5,Activity AB,,normal,-,-
11,6,Activity B,,normal,-,-
11,7,■,,normal,-,-
12,0,▶,,normal,-,-
12,1,Activity A,,normal,-,-
12,2,Activity Y,,normal,-,-
12,3,Activity B,,normal,-,-
12,4,■,,normal,-,-
13,0,▶,,normal,-,-
13,1,Activity A,,normal,-,-
13,2,Activity Z,,normal,-,-
13,3,Activity AA,,normal,-,-
13,4,Activity AE,,normal,-,-
13,5,Activity AB,,normal,-,-
13,6,Activity B,,normal,-,-
13,7,■,,normal,-,-
14,0,▶,,normal,-,-
14,1,Activity A,,normal,-,-
14,2,Activity Y,,normal,-,-
14,3,Activity B,,normal,-,-
14,4,■,,normal,-,-
15,0,▶,,normal,-,-
15,1,Activity A,,normal,-,-
15,2,Activity Y,,normal,-,-
15,3,Activity B,,normal,-,-
15,4,■,,normal,-,-
