case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,normal,-,-
1,1,Activity A,,normal,-,-
1,2,Activity C,,normal,-,-
1,3,Activity K,,normal,-,-
1,4,Activity D,,normal,-,-
1,5,Activity B,,normal,-,-
1,6,■,,normal,-,-
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity N,,normal,-,-
2,3,Activity AE,,normal,-,-
2,4,Activity AF,,normal,-,-
2,5,Activity O,,normal,-,-
2,6,Activity B,,normal,-,-
2,7,■,,normal,-,-
3,0,▶,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,1,Activity A,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,2,Activity C,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,3,Activity D,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,4,Activity E,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,5,Activity H,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,6,Activity F,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,7,Activity B,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,8,■,,anomalous,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity C,,normal,-,-
4,3,Activity K,,normal,-,-
4,4,Activity D,,normal,-,-
4,5,Activity B,,normal,-,-
4,6,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity C,,normal,-,-
5,3,Activity K,,normal,-,-
5,4,Activity D,,normal,-,-
5,5,Activity B,,normal,-,-
5,6,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity C,,normal,-,-
6,3,Activity K,,normal,-,-
6,4,Activity D,,normal,-,-
6,5,Activity B,,normal,-,-
6,6,■,,normal,-,-
7,0,▶,,anomalous,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,1,Activity A,,anomalous,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,2,Activity N,,anomalous,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,3,Activity AG,,anomalous,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
