case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,normal,-,-
1,1,Activity A,,normal,-,-
1,2,Activity AI,,normal,-,-
1,3,Activity AL,,normal,-,-
1,4,Activity AM,,normal,-,-
1,5,Activity AN,,normal,-,-
1,6,Activity AO,,normal,-,-
1,7,Activity AJ,,normal,-,-
1,8,Activity B,,normal,-,-
1,9,■,,normal,-,-
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity C,,normal,-,-
2,3,Activity D,,normal,-,-
2,4,Activity E,,normal,-,-
2,5,Activity I,,normal,-,-
2,6,Activity F,,normal,-,-
2,7,Activity J,,normal,-,-
2,8,Activity K,,normal,-,-
2,9,Activity B,,normal,-,-
2,10,■,,normal,-,-
3,0,▶,,normal,-,-
3,1,Activity A,,normal,-,-
3,2,Activity AI,,normal,-,-
3,3,Activity AL,,normal,-,-
3,4,Activity AM,,normal,-,-
3,5,Activity AN,,normal,-,-
3,6,Activity AO,,normal,-,-
3,7,Activity AJ,,normal,-,-
3,8,Activity B,,normal,-,-
3,9,■,,normal,-,-
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity AT,,normal,-,-
4,3,Activity AY,,normal,-,-
4,4,Activity AZ,,normal,-,-
4,5,Activity BA,,normal,-,-
4,6,Activity BB,,normal,-,-
4,7,Activity AU,,normal,-,-
4,8,Activity B,,normal,-,-
4,9,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity AI,,normal,-,-
5,3,Activity AP,,normal,-,-
5,4,Activity AQ,,normal,-,-
5,5,Activity AR,,normal,-,-
5,6,Activity AS,,normal,-,-
5,7,Activity AJ,,normal,-,-
5,8,Activity B,,normal,-,-
5,9,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity AT,,normal,-,-
6,3,Activity AY,,normal,-,-
6,4,Activity AZ,,normal,-,-
6,5,Activity BA,,normal,-,-
6,6,Activity BB,,normal,-,-
6,7,Activity AU,,normal,-,-
6,8,Activity B,,normal,-,-
6,9,■,,normal,-,-
7,0,▶,,normal,-,-
7,1,Activity A,,normal,-,-
7,2,Activity AI,,normal,-,-
7,3,Activity AL,,normal,-,-
7,4,Activity AM,,normal,-,-
7,5,Activity AN,,normal,-,-
7,6,Activity AO,,normal,-,-
7,7,Activity AJ,,normal,-,-
7,8,Activity B,,normal,-,-
7,9,■,,normal,-,-
8,0,▶,,normal,-,-
8,1,Activity A,,normal,-,-
8,2,Activity C,,normal,-,-
8,3,Activity D,,normal,-,-
8,4,Activity E,,normal,-,-
8,5,Activity I,,normal,-,-
8,6,Activity F,,normal,-,-
8,7,Activity J,,normal,-,-
8,8,Activity K,,normal,-,-
8,9,Activity B,,normal,-,-
8,10,■,,normal,-,-
9,0,▶,,normal,-,-
9,1,Activity A,,normal,-,-
9,2,Activity L,,normal,-,-
9,3,Activity N,,normal,-,-
9,4,Activity M,,normal,-,-
9,5,Activity R,,normal,-,-
9,6,Activity V,,normal,-,-
9,7,Activity S,,normal,-,-
9,8,Activity B,,normal,-,-
9,9,■,,normal,-,-
10,0,▶,,normal,-,-
10,1,Activity A,,normal,-,-
10,2,Activity L,,normal,-,-
10,3,Activity P,,normal,-,-
