case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,anomalous,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,1,Activity BC,,anomalous,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,2,Activity A,,anomalous,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,3,Activity B,,anomalous,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,4,■,,anomalous,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity T,,normal,-,-
2,3,Activity AK,,normal,-,-
2,4,Activity AL,,normal,-,-
2,5,Activity AM,,normal,-,-
2,6,Activity U,,normal,-,-
2,7,Activity B,,normal,-,-
2,8,■,,normal,-,-
3,0,▶,,normal,-,-
3,1,Activity A,,normal,-,-
3,2,Activity BZ,,normal,-,-
3,3,Activity B,,normal,-,-
3,4,■,,normal,-,-
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity C,,normal,-,-
4,3,Activity L,,normal,-,-
4,4,Activity O,,normal,-,-
4,5,Activity M,,normal,-,-
4,6,Activity D,,normal,-,-
4,7,Activity S,,normal,-,-
4,8,Activity B,,normal,-,-
4,9,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity BD,,normal,-,-
5,3,Activity BO,,normal,-,-
5,4,Activity BE,,normal,-,-
5,5,Activity BQ,,normal,-,-
5,6,Activity BR,,normal,-,-
5,7,Activity BT,,normal,-,-
5,8,Activity BS,,normal,-,-
5,9,Activity B,,normal,-,-
5,10,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity T,,normal,-,-
6,3,Activity AK,,normal,-,-
6,4,Activity AL,,normal,-,-
6,5,Activity AM,,normal,-,-
6,6,Activity U,,normal,-,-
6,7,Activity B,,normal,-,-
6,8,■,,normal,-,-
7,0,▶,,normal,-,-
7,1,Activity A,,normal,-,-
7,2,Activity BC,,normal,-,-
7,3,Activity B,,normal,-,-
7,4,■,,normal,-,-
8,0,▶,,normal,-,-
8,1,Activity A,,normal,-,-
8,2,Activity C,,normal,-,-
8,3,Activity G,,normal,-,-
8,4,Activity I,,normal,-,-
8,5,Activity H,,normal,-,-
8,6,Activity D,,normal,-,-
8,7,Activity S,,normal,-,-
8,8,Activity B,,normal,-,-
8,9,■,,normal,-,-
9,0,▶,,normal,-,-
9,1,Activity A,,normal,-,-
9,2,Activity BD,,normal,-,-
9,3,Activity BO,,normal,-,-
9,4,Activity BE,,normal,-,-
9,5,Activity BQ,,normal,-,-
9,6,Activity BR,,normal,-,-
9,7,Activity BT,,normal,-,-
9,8,Activity BS,,normal,-,-
9,9,Activity B,,normal,-,-
9,10,■,,normal,-,-
10,0,▶,,normal,-,-
10,1,Activity A,,normal,-,-
10,2,Activity C,,normal,-,-
10,3,Activity E,,normal,-,-
10,4,Activity F,,normal,-,-
10,5,Activity D,,normal,-,-
10,6,Activity S,,normal,-,-
10,7,Activity B,,normal,-,-
10,8,■,,normal,-,-
11,0,▶,,normal,-,-
11,1,Activity A,,normal,-,-
11,2,Activity T,,normal,-,-
11,3,Activity AN,,normal,-,-
11,4,Activity AP,,normal,-,-
11,5,Activity AO,,normal,-,-
11,6,Activity U,,normal,-,-
11,7,Activity B,,normal,-,-
11,8,■,,normal,-,-
12,0,▶,,normal,-,-
12,1,Activity A,,normal,-,-
12,2,Activity T,,normal,-,-
12,3,Activity AN,,normal,-,-
12,4,Activity AP,,normal,-,-
12,5,Activity AO,,normal,-,-
12,6,Activity U,,normal,-,-
12,7,Activity B,,normal,-,-
12,8,■,,normal,-,-
13,0,▶,,normal,-,-
13,1,Activity A,,normal,-,-
13,2,Activity T,,normal,-,-
13,3,Activity AC,,normal,-,-
13,4,Activity AI,,normal,-,-
13,5,Activity AJ,,normal,-,-
13,6,Activity AD,,normal,-,-
13,7,Activity U,,normal,-,-
13,8,Activity B,,normal,-,-
13,9,■,,normal,-,-
14,0,▶,,normal,-,-
14,1,Activity A,,normal,-,-
14,2,Activity T,,normal,-,-
14,3,Activity AN,,normal,-,-
14,4,Activity AP,,normal,-,-
14,5,Activity AO,,normal,-,-
14,6,Activity U,,normal,-,-
14,7,Activity B,,normal,-,-
14,8,■,,normal,-,-
15,0,▶,,anomalous,Insert,{'indices': [6]}
15,1,Activity A,,anomalous,Insert,{'indices': [6]}
15,2,Activity T,,anomalous,Insert,{'indices': [6]}
15,3,Activity AN,,anomalous,Insert,{'indices': [6]}
15,4,Activity AS,,anomalous,Insert,{'indices': [6]}
15,5,Activity AZ,,anomalous,Insert,{'indices': [6]}
15,6,Activity AT,,anomalous,Insert,{'indices': [6]}
15,7,Random activity 58,,anomalous,Insert,{'indices': [6]}
15,8,Activity AO,,anomalous,Insert,{'indices': [6]}
15,9,Activity U,,anomalous,Insert,{'indices': [6]}
15,10,Activity B,,anomalous,Insert,{'indices': [6]}
15,11,■,,anomalous,Insert,{'indices': [6]}
16,0,▶,,normal,-,-
16,1,Activity A,,normal,-,-
16,2,Activity T,,normal,-,-
16,3,Activity AN,,normal,-,-
16,4,Activity AQ,,normal,-,-
16,5,Activity AR,,normal,-,-
16,6,Activity AO,,normal,-,-
16,7,Activity U,,normal,-,-
16,8,Activity B,,normal,-,-
16,9,■,,normal,-,-
17,0,▶,,normal,-,-
17,1,Activity A,,normal,-,-
17,2,Activity T,,normal,-,-
17,3,Activity AK,,normal,-,-
17,4,Activity AL,,normal,-,-
17,5,Activity AM,,normal,-,-
17,6,Activity U,,normal,-,-
17,7,Activity B,,normal,-,-
17,8,■,,normal,-,-
18,0,▶,,normal,-,-
18,1,Activity A,,normal,-,-
18,2,Activity C,,normal,-,-
18,3,Activity L,,normal,-,-
18,4,Activity P,,normal,-,-
18,5,Activity M,,normal,-,-
18,6,Activity D,,normal,-,-
18,7,Activity S,,normal,-,-
18,8,Activity B,,normal,-,-
18,9,■,,normal,-,-
19,0,▶,,normal,-,-
19,1,Activity A,,normal,-,-
19,2,Activity BD,,normal,-,-
19,3,Activity BJ,,normal,-,-
19,4,Activity BN,,normal,-,-
19,5,Activity BK,,normal,-,-
19,6,Activity BE,,normal,-,-
19,7,Activity BQ,,normal,-,-
19,8,Activity BR,,normal,-,-
19,9,Activity BW,,normal,-,-
19,10,Activity BS,,normal,-,-
19,11,Activity B,,normal,-,-
19,12,■,,normal,-,-
20,0,▶,,normal,-,-
20,1,Activity A,,normal,-,-
20,2,Activity BD,,normal,-,-
20,3,Activity BP,,normal,-,-
20,4,Activity BE,,normal,-,-
20,5,Activity BQ,,normal,-,-
20,6,Activity BR,,normal,-,-
20,7,Activity BV,,normal,-,-
20,8,Activity BS,,normal,-,-
20,9,Activity B,,normal,-,-
20,10,■,,normal,-,-
21,0,▶,,normal,-,-
21,1,Activity A,,normal,-,-
21,2,Activity C,,normal,-,-
21,3,Activity L,,normal,-,-
21,4,Activity Q,,normal,-,-
21,5,Activity M,,normal,-,-
21,6,Activity D,,normal,-,-
21,7,Activity S,,normal,-,-
21,8,Activity B,,normal,-,-
21,9,■,,normal,-,-
22,0,▶,,normal,-,-
22,1,Activity A,,normal,-,-
22,2,Activity C,,normal,-,-
22,3,Activity G,,normal,-,-
22,4,Activity I,,normal,-,-
22,5,Activity H,,normal,-,-
22,6,Activity D,,normal,-,-
22,7,Activity S,,normal,-,-
22,8,Activity B,,normal,-,-
22,9,■,,normal,-,-
23,0,▶,,normal,-,-
23,1,Activity A,,normal,-,-
23,2,Activity T,,normal,-,-
23,3,Activity AK,,normal,-,-
23,4,Activity AL,,normal,-,-
23,5,Activity AM,,normal,-,-
