case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:32:061,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:28:17:558,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:16:56:259,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:07:04:334,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:42:36:106,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:39:28:741,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:21:53:847,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:42:061,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 14:51:17:680,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:49:42:771,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:52:061,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:58:07:487,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:52:39:287,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity BC,2020-06-27 14:33:02:061,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,2,Activity A,2020-06-27 15:08:08:661,Seth,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,3,Activity B,2020-06-27 15:56:21:306,Tiffiny,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:12:061,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:50:15:735,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:43:02:317,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:22:061,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:30:54:675,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 16:23:11:907,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
