case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Micheline,normal,-,-
1,2,Activity T,,Steve,normal,-,-
1,3,Activity AC,,Ling,normal,-,-
1,4,Activity AE,,Amanda,normal,-,-
1,5,Activity AD,,Emily,normal,-,-
1,6,Activity U,,Junior,normal,-,-
1,7,Activity B,,Rossie,normal,-,-
1,8,■,,■,normal,-,-
2,0,▶,,▶,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,1,Activity A,,Joe,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,2,Activity BC,,Paul,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,3,Activity B,,Michaele,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,4,■,,■,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sharee,normal,-,-
3,2,Activity BZ,,Frances,normal,-,-
3,3,Activity B,,Steve,normal,-,-
3,4,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Seth,normal,-,-
4,2,Activity BC,,Micheline,normal,-,-
4,3,Activity B,,Tiffiny,normal,-,-
4,4,■,,■,normal,-,-
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Sharee,normal,-,-
5,2,Activity BZ,,Issac,normal,-,-
5,3,Activity B,,Elisha,normal,-,-
5,4,■,,■,normal,-,-
6,0,▶,,▶,anomalous,Attribute,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,1,Activity A,,Joe,anomalous,Attribute,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,2,Activity BC,,Micheline,anomalous,Attribute,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,3,Activity B,,Frances,anomalous,Attribute,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,4,■,,■,anomalous,Attribute,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
7,0,▶,,▶,anomalous,Attribute,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Carmella', 'Tiffiny']}"
7,1,Activity A,,Velda,anomalous,Attribute,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Carmella', 'Tiffiny']}"
7,2,Activity BC,,Micheline,anomalous,Attribute,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Carmella', 'Tiffiny']}"
7,3,Activity B,,Hassie,anomalous,Attribute,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Carmella', 'Tiffiny']}"
7,4,■,,■,anomalous,Attribute,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Carmella', 'Tiffiny']}"
8,0,▶,,▶,normal,-,-
8,1,Activity A,,Amanda,normal,-,-
8,2,Activity C,,Lisa,normal,-,-
8,3,Activity E,,Donald,normal,-,-
8,4,Activity F,,Keven,normal,-,-
8,5,Activity D,,James,normal,-,-
8,6,Activity S,,Hoyt,normal,-,-
8,7,Activity B,,Tiffiny,normal,-,-
8,8,■,,■,normal,-,-
9,0,▶,,▶,normal,-,-
9,1,Activity A,,Micheline,normal,-,-
9,2,Activity T,,Steve,normal,-,-
9,3,Activity AC,,Lucy,normal,-,-
9,4,Activity AE,,Amanda,normal,-,-
9,5,Activity AD,,Emily,normal,-,-
9,6,Activity U,,Hannah,normal,-,-
9,7,Activity B,,Ronald,normal,-,-
9,8,■,,■,normal,-,-
10,0,▶,,▶,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,1,Activity A,,Doretta,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,2,Activity C,,Sigrid,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,3,Activity L,,Sharee,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,4,Activity N,,Paul,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,5,Activity M,,Jack,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,6,Activity D,,Sandra,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,7,Activity S,,Gema,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,8,Activity B,,Ronald,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
10,9,■,,■,anomalous,Attribute,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Pam']}"
11,0,▶,,▶,normal,-,-
11,1,Activity A,,Amanda,normal,-,-
11,2,Activity C,,Vickie,normal,-,-
11,3,Activity L,,Lisa,normal,-,-
11,4,Activity O,,Johnny,normal,-,-
11,5,Activity M,,Maryellen,normal,-,-
11,6,Activity D,,Shandi,normal,-,-
11,7,Activity S,,Brian,normal,-,-
11,8,Activity B,,Ronald,normal,-,-
11,9,■,,■,normal,-,-
12,0,▶,,▶,normal,-,-
12,1,Activity A,,Carmella,normal,-,-
12,2,Activity BC,,Micheline,normal,-,-
12,3,Activity B,,Tiffiny,normal,-,-
12,4,■,,■,normal,-,-
13,0,▶,,▶,normal,-,-
13,1,Activity A,,Sharee,normal,-,-
13,2,Activity BZ,,Issac,normal,-,-
13,3,Activity B,,Steve,normal,-,-
13,4,■,,■,normal,-,-
14,0,▶,,▶,normal,-,-
14,1,Activity A,,Steve,normal,-,-
