case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity AQ,,Earl,normal,-,-
1,3,Activity AR,,Marilyn,normal,-,-
1,4,Activity C,,Michaele,normal,-,-
1,5,Activity D,,Hassie,normal,-,-
1,6,Activity E,,Doretta,normal,-,-
1,7,Activity H,,Shandi,normal,-,-
1,8,Activity F,,Elisha,normal,-,-
1,9,Activity I,,Ling,normal,-,-
1,10,Activity O,,Rossie,normal,-,-
1,11,Activity P,,Jamika,normal,-,-
1,12,Activity J,,Ryan,normal,-,-
1,13,Activity B,,Iluminada,normal,-,-
1,14,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Sherlene,normal,-,-
2,2,Activity AQ,,Doretta,normal,-,-
2,3,Activity AR,,Hugo,normal,-,-
2,4,Activity AB,,Sherell,normal,-,-
2,5,Activity AE,,Ling,normal,-,-
2,6,Activity AC,,Alyce,normal,-,-
2,7,Activity AG,,Evelin,normal,-,-
2,8,Activity AK,,Sherlene,normal,-,-
2,9,Activity AH,,Alyce,normal,-,-
2,10,Activity AL,,Amanda,normal,-,-
2,11,Activity AN,,Sandra,normal,-,-
2,12,Activity AM,,Seth,normal,-,-
2,13,Activity AP,,Steve,normal,-,-
2,14,Activity B,,Pam,normal,-,-
2,15,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity AQ,,Earl,normal,-,-
3,3,Activity AR,,Deloras,normal,-,-
3,4,Activity Q,,Sherlene,normal,-,-
3,5,Activity R,,Jimmy,normal,-,-
3,6,Activity S,,Hoyt,normal,-,-
3,7,Activity T,,Alpha,normal,-,-
3,8,Activity U,,Elisha,normal,-,-
3,9,Activity V,,James,normal,-,-
3,10,Activity Y,,Deloras,normal,-,-
3,11,Activity W,,Elisha,normal,-,-
3,12,Activity B,,Clayton,normal,-,-
3,13,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Sherlene,normal,-,-
4,2,Activity AQ,,Doretta,normal,-,-
4,3,Activity AR,,Rossie,normal,-,-
