case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:02:55:629,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:56:40:367,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:45:44:999,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:34:41:183,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:34:15:991,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:26:36:476,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:11:40:515,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity BC,2020-06-27 14:03:05:629,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,2,Activity A,2020-06-27 14:22:33:049,Joe,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,3,Activity B,2020-06-27 15:17:10:544,Deloras,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity BZ,2020-06-27 14:03:15:629,Frances,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,2,Activity A,2020-06-27 14:29:19:623,Sharee,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,3,Activity B,2020-06-27 15:28:41:372,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:03:25:629,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:51:15:445,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:37:26:372,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:03:35:629,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:52:00:885,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:50:03:309,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:03:45:629,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:42:53:266,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:32:58:268,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:03:55:629,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:46:15:912,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:31:33:987,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:04:05:629,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,2,Activity E,2020-06-27 14:22:46:832,Donald,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,3,Activity C,2020-06-27 15:15:24:148,Lisa,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,4,Activity F,2020-06-27 16:05:39:553,Keven,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,5,Activity D,2020-06-27 16:28:27:775,James,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,6,Activity S,2020-06-27 17:20:38:719,Hoyt,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,7,Activity B,2020-06-27 17:53:43:993,Tiffiny,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:04:15:629,Micheline,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,2,Activity AC,2020-06-27 14:31:42:842,Lucy,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,3,Activity AE,2020-06-27 15:16:59:102,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,4,Activity AD,2020-06-27 15:51:31:022,Emily,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,5,Activity T,2020-06-27 16:43:57:808,Steve,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,6,Activity U,2020-06-27 17:37:49:674,Hannah,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,7,Activity B,2020-06-27 18:10:39:279,Ronald,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity L,2020-06-27 14:04:25:629,Pam,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,2,Activity N,2020-06-27 14:34:58:242,Paul,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,3,Activity A,2020-06-27 15:27:28:129,Doretta,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,4,Activity C,2020-06-27 16:06:19:605,Seth,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,5,Activity M,2020-06-27 16:36:49:261,Jack,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,6,Activity D,2020-06-27 17:24:44:820,Sandra,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,7,Activity S,2020-06-27 18:05:32:750,Gema,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,8,Activity B,2020-06-27 18:59:26:193,Ronald,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,9,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:04:35:629,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 14:59:20:385,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 15:48:36:782,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:43:08:766,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:31:10:870,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:31:01:657,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 19:30:34:961,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:48:16:004,Ronald,normal,normal,"-"
11,9,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:04:45:629,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 14:28:02:716,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 15:25:01:632,Tiffiny,normal,normal,"-"
12,4,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:04:55:629,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 15:01:18:413,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 16:00:07:896,Steve,normal,normal,"-"
13,4,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:05:05:629,Steve,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,2,Activity C,2020-06-27 14:58:49:627,Hoyt,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,3,Activity L,2020-06-27 15:49:13:154,Lisa,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,4,Activity D,2020-06-27 16:40:44:115,Issac,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,5,Activity O,2020-06-27 17:27:24:699,Marilyn,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,6,Activity M,2020-06-27 18:16:08:486,Jack,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,7,Activity S,2020-06-27 18:50:47:596,Ryan,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
14,8,Activity B,2020-06-27 19:32:26:151,Deloras,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
