case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:52:905,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:38:01:275,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:30:57:023,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:07:11:356,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:48:58:958,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:47:12:534,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:20:36:152,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:05:28:917,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity N,2020-06-27 14:07:02:905,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,2,Activity M,2020-06-27 15:02:43:855,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,3,Activity R,2020-06-27 15:55:55:063,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,4,Activity AC,2020-06-27 16:42:24:236,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,5,Activity A,2020-06-27 17:04:26:869,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,6,Activity L,2020-06-27 17:50:36:736,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,7,Activity AH,2020-06-27 18:46:59:739,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,8,Activity AD,2020-06-27 19:24:43:173,Craig,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,9,Activity S,2020-06-27 20:20:06:138,Lannie,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,10,Activity B,2020-06-27 21:13:39:568,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:12:905,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:23:43:197,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:18:19:453,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 15:50:22:758,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 16:25:37:748,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:20:43:053,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:08:09:028,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 18:58:40:114,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:22:905,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:04:09:105,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:59:37:228,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:56:39:214,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:55:21:950,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:42:31:730,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:22:51:219,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:54:18:516,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:39:47:273,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:32:905,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:56:25:052,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:48:13:105,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:37:26:931,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:17:28:724,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:08:44:064,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 19:06:46:838,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:28:13:822,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:23:06:108,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:01:17:739,Hoyt,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:42:905,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:36:16:227,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:25:57:853,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:11:54:402,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 16:42:19:912,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 17:36:01:460,Jimmy,normal,normal,"-"
