case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:50:423,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:34:54:818,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:27:02:418,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:15:50:177,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:06:51:041,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:01:52:329,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:07:00:423,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:47:04:382,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:46:15:296,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:19:44:835,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 16:56:56:276,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:52:27:545,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:34:44:505,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:10:423,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:43:41:037,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:36:42:267,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:36:20:890,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:15:17:486,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:11:01:441,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:20:423,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:23:50:784,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:14:55:170,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:10:30:269,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:09:59:961,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:03:44:945,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:50:10:961,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:30:423,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:39:33:517,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:27:01:265,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:21:57:956,Jamika,normal,normal,"-"
